title,author,rating,voters,price,publisher,page_count,published_date
Powerful Phrases for Dealing with Difficult People: Over 325 Ready-to-Use Words and Phrases for Working with Challenging Personalities,Renee Evenson,,,32.36,AMACOM,240,15-Oct-13
Green Lantern: Secret Origin,Geoff Johns,4.6,45,59.03,DC,194,12-Apr-11
Moby Dick. Illustrated edition,Melville Herman,5,3,0.17,Strelbytskyy Multimedia Publishing,771,28-Feb-18
How to Win Friends and Influence People,Dale Carnegie,4.4,1382,55.47,Random House,304,30-Sep-10
Happy: Why More or Less Everything is Absolutely Fine,Derren Brown,4,2,55.47,Random House,576,22-Sep-16
War and Peace: With bonus material from Give War and Peace A Chance by Andrew D. Kaufman,Leo Tolstoy,4.3,1354,0,Simon and Schuster,1400,8-Apr-14
Competitive Advantage: Creating and Sustaining Superior Performance,Michael E. Porter,5,6,78.72,Simon and Schuster,592,30-Jun-08
Summary: The Compound Effect,Nine99 Innovation Lab,5,1,3.94,Nine99 Innovation Lab (OPC) Pvt Ltd,7,7-Jul-19
And Then There Were None,Agatha Christie,4.6,510,32.1,HarperCollins UK,224,14-Oct-10
"The Complete Works of William Shakespeare: All 213 Plays, Poems, Sonnets, Apocryphal Plays + The Biography: The Life of William Shakespeare by Sidney Lee: Hamlet - Romeo and Juliet - King Lear - A Midsummer Night’s Dream - Macbeth - The Tempest - Othello and many more",William Shakespeare,4.7,6,4.17,e-artnow,1424,27-Feb-14
The Art of War (The Classic Lionel Giles Translation),Sun Tzu,4.6,24,4.17,e-artnow,80,2-Jun-12
Heart and Brain: An Awkward Yeti Collection,The Awkward Yeti,4.7,87,33.14,Andrews McMeel Publishing,144,20-Oct-15
Twas The Nightshift Before Christmas: Festive hospital diaries from the author of million-copy hit This is Going to Hurt,Adam Kay,4.7,47,41.82,Pan Macmillan,112,17-Oct-19
Platform: Get Noticed in a Noisy World,Michael Hyatt,4.6,18,73.92,HarperCollins Leadership,288,21-May-12
Ultimate Spider-Man Vol. 11: Carnage,Brian Michael Bendis,4.1,200,43.28,Marvel Entertainment,144,15-Jan-14
Diabolical,Jana DeLeon,4.8,85,23.59,Jana DeLeon,360,8-Aug-16
Introducing Critical Theory: A Graphic Guide,Stuart Sim,3.7,3,23.4,Icon Books,176,1-Jan-04
Final Option,Clive Cussler,4.9,11,71.63,Penguin,400,5-Nov-19
Indistractable: How to Control Your Attention and Choose Your Life,Nir Eyal,5,2,69.24,Bloomsbury Publishing,400,17-Oct-19
The Secret,Rhonda Byrne,4.1,9403,47.22,Simon and Schuster,216,26-Feb-07
"Goals!: How to Get Everything You Want -- Faster Than You Ever Thought Possible, Edition 2",Brian Tracy,4.3,84,86.45,Berrett-Koehler Publishers,288,9-Aug-10
The Art of War (The Classic Lionel Giles Translation),Sun Tzu,4.6,24,4.17,e-artnow,80,2-Jun-12
The Shadow Rising: Book Four of 'The Wheel of Time',Robert Jordan,4.7,567,33.42,Tor Books,704,19-Jan-10
Bring Me Back,B A Paris,3.8,124,30.71,HarperCollins UK,368,8-Mar-18
Business Strategy (The Brian Tracy Success Library),Brian Tracy,,,38.33,AMACOM,112,29-Apr-15
Personal Success (The Brian Tracy Success Library),Brian Tracy,,,29.4,AMACOM,112,6-Jan-16
Dead Silent,Shirley Wells,4,3,8.85,Harlequin,355,22-Aug-11
"A Game of Thrones: The Story Continues Books 1-5: A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast for Crows, A Dance with Dragons (A Song of Ice and Fire)",George R.R. Martin,4.5,751,88.06,HarperCollins UK,4544,15-Mar-12
Total Control,David Baldacci,4,85,41.82,Pan Macmillan,624,4-Nov-11
Civil War: Volume 1,Mark Millar,4.5,5177,51.16,Marvel Entertainment,208,1-Jan-11
Happy: Why More or Less Everything is Absolutely Fine,Derren Brown,4,2,55.47,Random House,576,22-Sep-16
Introducing Critical Theory: A Graphic Guide,Stuart Sim,3.7,3,23.4,Icon Books,176,1-Jan-04
A Crown of Swords: Book Seven of 'The Wheel of Time',Robert Jordan,4.6,407,33.42,Macmillan,688,20-Apr-10
Happy: Why More or Less Everything is Absolutely Fine,Derren Brown,4,2,55.47,Random House,576,22-Sep-16
Platform Revolution: How Networked Markets Are Transforming the Economy—and How to Make Them Work for You,Geoffrey G. Parker,4.5,13,70.7,W. W. Norton & Company,256,28-Mar-16
The Red Signal: An Agatha Christie Short Story,Agatha Christie,5,4,7.5,HarperCollins UK,40,1-Sep-11
God of War: The Official Novelization,J.M. Barlog,4.5,94,15.82,Titan Books,400,28-Aug-18
I Am Pilgrim: The bestselling Richard & Judy Book Club pick,Terry Hayes,4.4,1130,49.92,Random House,704,18-Jul-13
Getting Things Done: The Art of Stress-Free Productivity,David Allen,4.5,141,66.87,Penguin,352,17-Mar-15
The Eye of the World: Book One of 'The Wheel of Time',Robert Jordan,4.7,1780,36.79,Tor Books,688,15-Sep-00
The Daylight War: Book Three of The Demon Cycle,Peter V. Brett,4.6,861,35.4,Del Rey,656,12-Feb-13
Candide,Voltaire,4.5,14,11.78,Open Road Media,112,27-Jan-15
The Vagrant (The Vagrant Trilogy),Peter Newman,4.2,179,34.58,HarperCollins UK,416,23-Apr-15
"Mistborn Trilogy: The Final Empire, The Well of Ascension, The Hero of Ages",Brandon Sanderson,4.7,2700,66.12,Tor Books,1712,1-Feb-11
Dork Diaries: Spectacular Superstar,Rachel Renee Russell,4.8,22,33.83,Simon and Schuster,368,31-Oct-19
Final Option: 'The best one yet',Clive Cussler,5,3,93.75,Penguin UK,400,14-Nov-19
Deadpool Team-Up Vol. 1: Good Buddies,Fred Van Lente,3.9,363,43.28,Marvel Entertainment,9.78E+12,186
Batman: Year One,Frank Miller,4.5,1756,59.03,DC,148,10-Jan-07
"The Complete Works of William Shakespeare: All 213 Plays, Poems, Sonnets, Apocryphal Plays + The Biography: The Life of William Shakespeare by Sidney Lee: Hamlet - Romeo and Juliet - King Lear - A Midsummer Night’s Dream - Macbeth - The Tempest - Othello and many more",William Shakespeare,4.7,6,4.17,e-artnow,1424,27-Feb-14
My Little Pony: Friendship is Magic #45,Thom Zahler,4.4,216,15.72,IDW Publishing,31,31-Aug-16
Happy: Why More or Less Everything is Absolutely Fine,Derren Brown,4,2,55.47,Random House,576,22-Sep-16
Crossroads of Twilight: Book Ten of 'The Wheel of Time',Robert Jordan,4.4,427,33.42,Tor Fantasy,704,20-Jul-10
Riley Paige Mystery Bundle: Once Gone (#1) and Once Taken (#2),Blake Pierce,4.5,45,14.96,Blake Pierce,250,16-Jun-16
Batman vs. Superman: The Greatest Battles,Geoff Johns,4.4,715,39.34,DC,147,8-Dec-15
"Shadowbred: The Twilight War, Book 1",Paul S. Kemp,4.6,25,27.53,Wizards of the Coast,352,21-Apr-10
Think Like a Freak: The Authors of Freakonomics Offer to Retrain Your Brain,Steven D. Levitt,4.3,532,50.25,Harper Collins,304,12-May-14
Immortal Hulk Vol. 1: Or Is He Both?,Al Ewing,4.4,97,35.41,Marvel Entertainment,128,21-Nov-18
Her Royal Spyness,Rhys Bowen,3.8,103,31.46,Penguin,336,1-Jul-08
"Assassin’s Apprentice (The Farseer Trilogy, Book 1)",Robin Hobb,4.4,399,26.51,HarperCollins UK,400,1-Sep-11
The Art of Super Mario Odyssey,Nintendo,3.9,9,133.85,Dark Horse Comics,368,5-Nov-19
The Memoirs of Sherlock Holmes,Arthur Conan Doyle,4.2,3316,0,Simon and Schuster,320,18-Nov-14
Blood Runs Cold: A completely unputdownable mystery and suspense thriller,Dylan Young,4.8,22,11.21,Bookouture,350,16-May-18
Getting Things Done: The Art of Stress-Free Productivity,David Allen,4.5,141,66.87,Penguin,352,17-Mar-15
Her Royal Spyness,Rhys Bowen,3.8,103,31.46,Penguin,336,1-Jul-08
Shattered Bonds,Faith Hunter,4.8,13,31.46,Penguin,400,29-Oct-19
"The Lord of the Rings: The Fellowship of the Ring, The Two Towers, The Return of the King",J. R. R. Tolkien,4.6,1105,81.87,HarperCollins UK,1216,20-Apr-09
The Vagrant (The Vagrant Trilogy),Peter Newman,4.2,179,34.58,HarperCollins UK,416,23-Apr-15
Mighty Thor Vol. 2: Lords Of Midgard,Jason Aaron,3.3,10,66.91,Marvel Entertainment,160,30-Nov-16
The Walking Dead: Compendium 1,Robert Kirkman,4.5,4533,157.49,"Image Comics, Inc.",28,19-May-09
"A Feast for Crows (A Song of Ice and Fire, Book 4)",George R.R. Martin,4.5,832,29.29,HarperCollins UK,864,24-Feb-11
"Mini Habits: Smaller Habits, Bigger Results",Stephen Guise,4.6,66,23.59,Selective Entertainment LLC,126,22-Dec-13
Summary: The Compound Effect,Nine99 Innovation Lab,5,1,3.94,Nine99 Innovation Lab (OPC) Pvt Ltd,7,7-Jul-19
The Shadow Rising: Book Four of 'The Wheel of Time',Robert Jordan,4.7,567,33.42,Tor Books,704,19-Jan-10
Blood Runs Cold: A completely unputdownable mystery and suspense thriller,Dylan Young,4.8,22,11.21,Bookouture,350,16-May-18
Thirty-Five and a Half Conspiracies: Rose Gardner Mystery #8,Denise Grover Swank,4.7,223,15.19,DGS,350,3-Nov-15
W is for Wasted: A Kinsey Millhone Novel,Sue Grafton,4.3,206,39.34,Penguin,448,10-Sep-13
Deadpool Kills the Marvel Universe,Cullen Bunn,4.2,38526,27.53,Marvel Entertainment,96,21-May-14
Antiques Con,Barbara Allan,4.8,4,29.9,Kensington Books,288,1-Apr-15
Furies of Calderon,Jim Butcher,4.7,142,14.29,Penguin,672,28-Jun-05
Battle Sight Zero,Gerald Seymour,5,1,94.48,Hachette UK,448,10-Jan-19
You'll Never See Daylight Again,Michaella McCollum,4.3,6,42.16,Kings Road Publishing,476,31-Oct-19
Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,4.8,52,46.85,Penguin UK,368,28-Sep-17
Furies of Calderon,Jim Butcher,4.7,142,14.29,Penguin,672,28-Jun-05
The Call of Cthulhu,H. P. Lovecraft,4.9,14,3.71,BookRix,49,17-Oct-18
Batman: Earth One,Geoff Johns,4.4,634,59.03,DC,146,10-Jul-12
"Mini Habits: Smaller Habits, Bigger Results",Stephen Guise,4.6,66,23.59,Selective Entertainment LLC,126,22-Dec-13
Summary: The Compound Effect,Nine99 Innovation Lab,5,1,3.94,Nine99 Innovation Lab (OPC) Pvt Ltd,7,7-Jul-19
The Weight of Honor (Kings and Sorcerers--Book 3),Morgan Rice,4.4,591,18.72,Morgan Rice,250,1-Jul-15
Introducing Critical Theory: A Graphic Guide,Stuart Sim,3.7,3,23.4,Icon Books,176,1-Jan-04
The Art of Thinking Clearly,Rolf Dobelli,4.3,72,7.84,Harper Collins,384,6-May-14
Auberon,James S. A. Corey,4.7,15,11.78,Hachette UK,112,12-Nov-19
Find Me: A Novel,André Aciman,4.7,38,46.88,"Farrar, Straus and Giroux",272,29-Oct-19
Crossroads of Twilight: Book Ten of 'The Wheel of Time',Robert Jordan,4.4,427,33.42,Tor Fantasy,704,20-Jul-10
The Infinite Game,Simon Sinek,3.8,4,71.63,Penguin,272,15-Oct-19
Civil Engineering Guide for GATE/ PSUs,Disha Experts,4.1,53,2.29,Disha Publications,363,14-Aug-17
"Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time, Edition 3",Brian Tracy,4.7,46,62.82,Berrett-Koehler Publishers,144,17-Apr-17
The Empty Nest: An unputdownably gripping psychological thriller,Sue Watson,4.7,7,3.71,Bookouture,357,1-Nov-19
Attack on Titan: Volume 13,Hajime Isayama,4.6,428,43.28,Kodansha Comics,192,31-Jul-14
Batman: Arkham Knight Vol. 3,Peter J. Tomasi,4.3,61,98.42,DC,200,12-Jul-16
Think Like a Freak: The Authors of Freakonomics Offer to Retrain Your Brain,Steven D. Levitt,4.3,532,50.25,Harper Collins,304,12-May-14
The Art Of Seduction,Robert Greene,4.5,34,74.99,Profile Books,272,3-Sep-10
Total Control,David Baldacci,4,85,41.82,Pan Macmillan,624,4-Nov-11
"Shadowbred: The Twilight War, Book 1",Paul S. Kemp,4.6,25,27.53,Wizards of the Coast,352,21-Apr-10
Critical Role Vox Machina: Origins: Volume 1,Matthew Mercer,5,15,66.9,Dark Horse Comics,168,15-Oct-19
"Assassin’s Apprentice (The Farseer Trilogy, Book 1)",Robin Hobb,4.4,399,26.51,HarperCollins UK,400,1-Sep-11
The Mysterious Affair at Styles (Poirot),Agatha Christie,4.6,57,19.28,HarperCollins UK,208,14-Oct-10
"Goals!: How to Get Everything You Want -- Faster Than You Ever Thought Possible, Edition 2",Brian Tracy,4.3,84,86.45,Berrett-Koehler Publishers,288,9-Aug-10
The Mysterious Affair at Styles,Agatha Christie,4.4,8,8.7,HarperCollins UK,208,17-Jan-13
Antiques Chop,Barbara Allan,4.5,4,29.9,Kensington Books,240,1-Apr-14
Killer Blonde,Laura Levine,4,10,73.67,Kensington Books,288,1-Sep-08
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,4.1,4750,62.1,Random House,416,28-Feb-12
"A Feast for Crows (A Song of Ice and Fire, Book 4)",George R.R. Martin,4.5,832,29.29,HarperCollins UK,864,24-Feb-11
Diabolical,Jana DeLeon,4.8,85,23.59,Jana DeLeon,360,8-Aug-16
The Vagrant (The Vagrant Trilogy),Peter Newman,4.2,179,34.58,HarperCollins UK,416,23-Apr-15
Spider-Man: Anti-Venom,Dan Slott,4,1701,19.65,Marvel Entertainment,96,10-Mar-10
The Art of War (The Classic Lionel Giles Translation),Sun Tzu,4.6,24,4.17,e-artnow,80,2-Jun-12
The Essentials of Finance and Accounting for Nonfinancial Managers,Edward Fields,,,58.99,AMACOM,320,15-Mar-11
Deadpool Kills the Marvel Universe,Cullen Bunn,4.2,38526,27.53,Marvel Entertainment,96,21-May-14
Kingdom Of Strangers,Zoe Ferraris,4.5,10,39.34,Hachette UK,368,7-Jun-12
Wrecking Ball (Diary of a Wimpy Kid Book 14),Jeff Kinney,4.7,166,53.11,Abrams,224,5-Nov-19
Ready Player One,Ernest Cline,4.6,17719,39.34,Broadway Books,384,16-Aug-11
Final Option: 'The best one yet',Clive Cussler,5,3,93.75,Penguin UK,400,14-Nov-19
The Law of Success in Sixteen Lessons,Napoleon Hill,4.7,97,7.84,Simon and Schuster,547,20-May-13
The Hitchhiker's Guide to the Galaxy: 42nd Anniversary Edition,Douglas Adams,4.6,100,32.51,Pan Macmillan,245,1-Sep-09
Platform: Get Noticed in a Noisy World,Michael Hyatt,4.6,18,73.92,HarperCollins Leadership,288,21-May-12
Platform Revolution: How Networked Markets Are Transforming the Economy—and How to Make Them Work for You,Geoffrey G. Parker,4.5,13,70.7,W. W. Norton & Company,256,28-Mar-16
A Forge of Valor (Kings and Sorcerers--Book 4),Morgan Rice,4.5,522,18.72,Morgan Rice,250,7-Sep-15
Salvaged,Madeleine Roux,4,1,47.78,Penguin,368,15-Oct-19
Diabolical,Jana DeLeon,4.8,85,23.59,Jana DeLeon,360,8-Aug-16
Start Day Trading Now: A Quick and Easy Introduction to Making Money While Managing Your Risk,Michael Sincere,5,2,47.22,Simon and Schuster,224,18-Feb-11
"A Feast for Crows (A Song of Ice and Fire, Book 4)",George R.R. Martin,4.5,832,29.29,HarperCollins UK,864,24-Feb-11
Indistractable: How to Control Your Attention and Choose Your Life,Nir Eyal,5,2,69.24,Bloomsbury Publishing,400,17-Oct-19
Watchmen (2019 Edition),Alan Moore,4.2,222,98.42,DC Comics,448,18-Jun-19
Competitive Advantage: Creating and Sustaining Superior Performance,Michael E. Porter,5,6,78.72,Simon and Schuster,592,30-Jun-08
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.1,1345,51.16,Hachette UK,256,13-Oct-16
"Assassin’s Apprentice (The Farseer Trilogy, Book 1)",Robin Hobb,4.4,399,26.51,HarperCollins UK,400,1-Sep-11
Death Masks,Jim Butcher,4.8,526,39.34,Penguin Group,464,5-Aug-03
Marketing (The Brian Tracy Success Library),Brian Tracy,,,29.4,AMACOM,112,11-Jun-14
Batman vs. Superman: The Greatest Battles,Geoff Johns,4.4,715,39.34,DC,147,8-Dec-15
The Queen of Nothing (The Folk of the Air #3),Holly Black,5,11,36.86,Bonnier Zaffre Ltd.,448,19-Nov-19
Powerful Phrases for Dealing with Difficult People: Over 325 Ready-to-Use Words and Phrases for Working with Challenging Personalities,Renee Evenson,,,32.36,AMACOM,240,15-Oct-13
Business Strategy (The Brian Tracy Success Library),Brian Tracy,,,38.33,AMACOM,112,29-Apr-15
Dark Matter: A Novel,Blake Crouch,4.4,1408,28.61,Broadway Books,368,26-Jul-16
Total Control,David Baldacci,4,85,41.82,Pan Macmillan,624,4-Nov-11
The Tower of the Swallow: Witcher 6,Andrzej Sapkowski,4.6,120,43.28,Hachette UK,400,19-May-16
Dead Silent,Shirley Wells,4,3,8.85,Harlequin,355,22-Aug-11
Gangster: A Novel,Lorenzo Carcaterra,4.5,79,31.46,Ballantine Books,384,30-Jul-02
Once Missed (A Riley Paige Mystery—Book 16),Blake Pierce,4.4,14,31.47,Blake Pierce,250,29-Oct-19
"Business Process Management: Concepts, Languages, Architectures, Edition 2",Mathias Weske,2.5,2,265.39,Springer Science & Business Media,404,3-May-12
The Queen of Nothing (The Folk of the Air #3),Holly Black,5,11,36.86,Bonnier Zaffre Ltd.,448,19-Nov-19
HR from the Outside In: Six Competencies for the Future of Human Resources,David Ulrich,3.6,5,133.9,McGraw Hill Professional,272,20-Jul-12
Batman: The Man Who Laughs,Ed Brubaker,4.5,64,59.03,DC,146,7-Apr-15
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,4.1,4750,62.1,Random House,416,28-Feb-12
Powerful Phrases for Dealing with Difficult People: Over 325 Ready-to-Use Words and Phrases for Working with Challenging Personalities,Renee Evenson,,,32.36,AMACOM,240,15-Oct-13
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.1,1345,51.16,Hachette UK,256,13-Oct-16
"A Game of Thrones: The Story Continues Books 1-5: A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast for Crows, A Dance with Dragons (A Song of Ice and Fire)",George R.R. Martin,4.5,751,88.06,HarperCollins UK,4544,15-Mar-12
Kings and Sorcerers Bundle (Books 2 and 3),Morgan Rice,4.5,95,33.72,Morgan Rice,500,25-Feb-16
"Business Process Management: Concepts, Languages, Architectures, Edition 2",Mathias Weske,2.5,2,265.39,Springer Science & Business Media,404,3-May-12
Boy Erased: A Memoir,Garrard Conley,4,35,23.85,Penguin,352,10-May-16
Shall We Tell the President?,Jeffrey Archer,4.5,47,41.82,Pan Macmillan,200,1-Apr-11
"Tintinalli's Emergency Medicine: A Comprehensive Study Guide, 9th edition: Edition 9",Judith E. Tintinalli,,,886.08,McGraw Hill Professional,2192,22-Oct-19
On Tyranny: Twenty Lessons from the Twentieth Century,Timothy Snyder,4.5,119,33.38,Tim Duggan Books,128,28-Feb-17
Working With You is Killing Me: Freeing Yourself from Emotional Traps at Work,Katherine Crowley,4,1,78.76,Hachette UK,256,1-Mar-06
Ask A Footballer,James Milner,,,98.42,Hachette UK,320,31-Oct-19
The Fires of Heaven: Book Five of 'The Wheel of Time',Robert Jordan,4.6,580,33.42,Tor Books,704,16-Feb-10
Avengers Vol. 1: Avengers World,Jonathan Hickman,4.2,373,43.28,Marvel Entertainment,152,30-Apr-13
10 Ways to be less consumerist,James Fries,,,4.43,EDITORA BIBLIOMUNDI SERVIÇOS DIGITAIS LTDA,15,21-Nov-19
That Time I got Reincarnated as a Slime 11,Story by FUSE,5,13,43.28,Kodansha America LLC,208,15-Oct-19
"The Girl in the Spider's Web: A Lisbeth Salander novel, continuing Stieg Larsson's Millennium Series",David Lagercrantz,4.1,445,39.34,Vintage Crime/Black Lizard,416,1-Sep-15
"Tintinalli's Emergency Medicine: A Comprehensive Study Guide, 9th edition: Edition 9",Judith E. Tintinalli,,,886.08,McGraw Hill Professional,2192,22-Oct-19
Management (The Brian Tracy Success Library),Brian Tracy,,,38.44,AMACOM,112,15-May-14
The Mysterious Affair at Styles,Agatha Christie,4.4,8,8.7,HarperCollins UK,208,17-Jan-13
"A Game of Thrones: The Story Continues Books 1-5: A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast for Crows, A Dance with Dragons (A Song of Ice and Fire)",George R.R. Martin,4.5,751,88.06,HarperCollins UK,4544,15-Mar-12
Spider-Verse: Volume 1,Dan Slott,4.4,308,118.11,Marvel Entertainment,624,29-Apr-15
Mrs. Pollifax Unveiled,Dorothy Gilman,3.9,21,31.46,Ballantine Books,208,31-May-00
Getting Things Done: The Art of Stress-Free Productivity,David Allen,4.5,141,66.87,Penguin,352,17-Mar-15
The Choice of Magic,Michael G. Manning,4.8,124,11.78,Michael Manning,408,16-Aug-19
The Weight of Honor (Kings and Sorcerers--Book 3),Morgan Rice,4.4,591,18.72,Morgan Rice,250,1-Jul-15
We Should All Be Feminists,Chimamanda Ngozi Adichie,4.2,272,23.85,Vintage,32,29-Jul-14
Spider-Man: Kraven's Last Hunt,J. M. DeMatteis,4.6,74,43.28,Marvel Entertainment,168,10-Dec-14
The Umbrella Academy: Apocalypse Suite #1,Gerard Way,4.8,79,7.84,Dark Horse Comics (Single Issues),23,23-Sep-15
Final Option: 'The best one yet',Clive Cussler,5,3,93.75,Penguin UK,400,14-Nov-19
The Empty Nest: An unputdownably gripping psychological thriller,Sue Watson,4.7,7,3.71,Bookouture,357,1-Nov-19
"Shadowbred: The Twilight War, Book 1",Paul S. Kemp,4.6,25,27.53,Wizards of the Coast,352,21-Apr-10
Green Lantern: Secret Origin,Geoff Johns,4.6,45,59.03,DC,194,12-Apr-11
The Art of War (The Classic Lionel Giles Translation),Sun Tzu,4.6,24,4.17,e-artnow,80,2-Jun-12
Venomized,Cullen Bunn,4.5,56,35.41,Marvel Entertainment,136,25-Jul-18
"A Feast for Crows (A Song of Ice and Fire, Book 4)",George R.R. Martin,4.5,832,29.29,HarperCollins UK,864,24-Feb-11
Final Option,Clive Cussler,4.9,11,71.63,Penguin,400,5-Nov-19
No One Is Too Small to Make a Difference,Greta Thunberg,5,2,38.18,Penguin,112,12-Nov-19
Competitive Advantage: Creating and Sustaining Superior Performance,Michael E. Porter,5,6,78.72,Simon and Schuster,592,30-Jun-08
Find Me: A TOP TEN SUNDAY TIMES BESTSELLER,André Aciman,4.6,13,42.16,Faber & Faber,256,29-Oct-19
How to Understand Business Finance: Edition 2,Bob Cinnamon,3.5,4,46.85,Kogan Page Publishers,176,3-Apr-10
Shantaram,Gregory David Roberts,4.5,499,55.1,Hachette UK,944,28-Jun-12
The Ultimate Secrets of Total Self-Confidence,Robert Anthony,4.5,42,23.85,Penguin,240,15-Nov-86
Ready Player One,Ernest Cline,4.6,17719,39.34,Broadway Books,384,16-Aug-11
Start Day Trading Now: A Quick and Easy Introduction to Making Money While Managing Your Risk,Michael Sincere,5,2,47.22,Simon and Schuster,224,18-Feb-11
Thirty-Five and a Half Conspiracies: Rose Gardner Mystery #8,Denise Grover Swank,4.7,223,15.19,DGS,350,3-Nov-15
The Memoirs of Sherlock Holmes,Arthur Conan Doyle,4.2,3316,0,Simon and Schuster,320,18-Nov-14
"Goals!: How to Get Everything You Want -- Faster Than You Ever Thought Possible, Edition 2",Brian Tracy,4.3,84,86.45,Berrett-Koehler Publishers,288,9-Aug-10
The Way Of Shadows: Book 1 of the Night Angel,Brent Weeks,4.7,185,43.28,Hachette UK,688,11-Jun-09
Batman Vol. 4: Zero Year-Secret City (The New 52),Scott Snyder,4.4,399,66.91,DC,180,13-May-14
The Man in the High Castle,Philip K. Dick,4,624,55.17,Houghton Mifflin Harcourt,272,24-Jan-12
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.1,1345,51.16,Hachette UK,256,13-Oct-16
The Art of Super Mario Odyssey,Nintendo,3.9,9,133.85,Dark Horse Comics,368,5-Nov-19
"The Lord of the Rings: The Fellowship of the Ring, The Two Towers, The Return of the King",J. R. R. Tolkien,4.6,1105,81.87,HarperCollins UK,1216,20-Apr-09
Rogues,George R. R. Martin,4.1,127,52.54,Bantam,832,17-Jun-14
"Assassin’s Apprentice (The Farseer Trilogy, Book 1)",Robin Hobb,4.4,399,26.51,HarperCollins UK,400,1-Sep-11
After Anna,Alex Lake,4.1,1633,20.51,HarperCollins UK,416,30-Jul-15
The Essentials of Finance and Accounting for Nonfinancial Managers,Edward Fields,,,58.99,AMACOM,320,15-Mar-11
Tall Tales and Wee Stories: The Best of Billy Connolly,Billy Connolly,5,4,98.42,Hachette UK,336,17-Oct-19
"Mini Habits: Smaller Habits, Bigger Results",Stephen Guise,4.6,66,23.59,Selective Entertainment LLC,126,22-Dec-13
The Weight of Honor (Kings and Sorcerers--Book 3),Morgan Rice,4.4,591,18.72,Morgan Rice,250,1-Jul-15
How to Win Friends and Influence People,Dale Carnegie,4.4,1382,55.47,Random House,304,30-Sep-10
Wedge's Gamble: Star Wars Legends (X-Wing),Michael A. Stackpole,4.5,87,31.46,Del Rey,368,28-Jun-11
The Call of Cthulhu,H. P. Lovecraft,4.9,14,3.71,BookRix,49,17-Oct-18
The Ultimate Secrets of Total Self-Confidence,Robert Anthony,4.5,42,23.85,Penguin,240,15-Nov-86
Rework,Jason Fried,4.1,3650,71.63,Currency,288,9-Mar-10
Spider-Verse: Volume 1,Dan Slott,4.4,308,118.11,Marvel Entertainment,624,29-Apr-15
The Shadow Rising: Book Four of 'The Wheel of Time',Robert Jordan,4.7,567,33.42,Tor Books,704,19-Jan-10
"Awaken the Giant Within: How to Take Immediate Control of Your Mental, Emotional, Physical and Financial",Tony Robbins,4.6,250,55.09,Simon and Schuster,544,1-Nov-07
Summary: Think and Grow Rich,Nine99 Innovation Lab,,,3.94,Nine99 Innovation Lab (OPC) Pvt Ltd,14,1-Jul-19
No One Is Too Small to Make a Difference,Greta Thunberg,5,2,38.18,Penguin,112,12-Nov-19
The Last Wife: An absolutely gripping and emotional page turner with a brilliant twist,Nicola Marsh,4.7,7,14.96,Bookouture,358,11-Oct-19
Sword of Destiny: Witcher 2: Tales of the Witcher,Andrzej Sapkowski,4.8,383,43.28,Hachette UK,400,21-May-15
Sonic the Hedgehog #18,Ian Flynn,4.7,26,7.84,IDW Publishing,36,3-Jul-19
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,4.1,1345,51.16,Hachette UK,256,13-Oct-16
God of War: The Official Novelization,J.M. Barlog,4.5,94,15.82,Titan Books,400,28-Aug-18
Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,4.8,52,46.85,Penguin UK,368,28-Sep-17
PSYCHOANALYSIS FOR BEGINNERS: A General Introduction to Psychoanalysis & Dream Psychology,Sigmund Freud,4.2,12,2.06,e-artnow,160,8-Feb-16
A Forge of Valor (Kings and Sorcerers--Book 4),Morgan Rice,4.5,522,18.72,Morgan Rice,250,7-Sep-15
Dark Matter: A Novel,Blake Crouch,4.4,1408,28.61,Broadway Books,368,26-Jul-16
Influence: The Psychology of Persuasion,"Robert B. Cialdini, PhD",4.3,288,56.14,Harper Collins,336,2-Jun-09
Sonic the Hedgehog #18,Ian Flynn,4.7,26,7.84,IDW Publishing,36,3-Jul-19
Darksiders: The Abomination Vault: A Novel,Ari Marmell,4.5,485,57.3,Del Rey,368,24-Jul-12
The Secrets of Saving and Investing with Alvin Hall: Simple Strategies to Make Your Money Go Further,Alvin Hall,3.7,23,3.9,Hachette UK,30,29-Jan-15
Edgedancer: From the Stormlight Archive,Brandon Sanderson,4.8,221,36.79,Tor Books,226,17-Oct-17
The Fires of Heaven: Book Five of 'The Wheel of Time',Robert Jordan,4.6,580,33.42,Tor Books,704,16-Feb-10
"Mistborn Trilogy: The Final Empire, The Well of Ascension, The Hero of Ages",Brandon Sanderson,4.7,2700,66.12,Tor Books,1712,1-Feb-11
